State, Facility Name, Facility ID (ORISPL), Unit ID, Associated Stacks, Year, Program(s), Operating Time, # of Months Reported, Gross Load (MW-h), Steam Load (1000lb), SO2 (tons), Avg. NOx Rate (lb/MMBtu), NOx (tons), CO2 (short tons), Heat Input (MMBtu), EPA Region, NERC Region, County, Source Category, Owner, Operator, Representative (Primary), Representative (Secondary), SO2 Phase, NOx Phase, Operating Status, Unit Type, Fuel Type (Primary), Fuel Type (Secondary), SO2 Control(s), NOx Control(s), PM Control(s), Hg Control(s), Facility Latitude, Facility Longitude
AL,AMEA Sylacauga Plant,56018,1, ,2017,ARP,313,12,12304,,0.038,0.0759,5.147,7989.9,135425.6,4,SERC,Talladega County,Electric Utility,Alabama Municipal Electric Authority,Alabama Municipal Electric Authority,"ARP : Timothy M Foster (601983),CSSO2G2 : Timothy M Foster (601983),CSNOXOS : Timothy M Foster (601983),CSOSG2 : Timothy M Foster (601983),CSNOX : Timothy M Foster (601983)","ARP : ,CSSO2G2 : ,CSNOXOS : ,CSOSG2 : ,CSNOX : ",Phase 2,,Operating,Combustion turbine,Pipeline Natural Gas,,,Water Injection,,,33.1661,-86.2825
AL,AMEA Sylacauga Plant,56018,2,,2017,ARP,312,12,12994,,0.04,0.0811,5.736,8349.7,141568.5,4,SERC,Talladega County,Electric Utility,Alabama Municipal Electric Authority,Alabama Municipal Electric Authority,"ARP : Timothy M Foster (601983),CSSO2G2 : Timothy M Foster (601983),CSNOXOS : Timothy M Foster (601983),CSOSG2 : Timothy M Foster (601983),CSNOX : Timothy M Foster (601983)","ARP : ,CSSO2G2 : ,CSNOXOS : ,CSOSG2 : ,CSNOX : ",Phase 2,,Operating,Combustion turbine,Pipeline Natural Gas,,,Water Injection,,,33.1661,-86.2825
AL,Barry,3,1,CS0AAN,2017,ARP,552.25,12,12915.25,,1.116,0.056,5.816,11384.958,192058.875,4,SERC,Mobile County,Electric Utility,Alabama Power Company,Alabama Power Company,"ARP : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSSO2G2 : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSNOXOS : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSOSG2 : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSNOX : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),MATS : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017)","ARP : Susan B Comensky (605449),CSSO2G2 : Susan B Comensky (605449),CSNOXOS : Susan B Comensky (605449),CSOSG2 : Susan B Comensky (605449),CSNOX : Susan B Comensky (605449),MATS : Susan B Comensky (605449)",Phase 2,Phase 2 Group 1,Operating,Tangentially-fired,Pipeline Natural Gas,,,Low NOx Burner Technology w/ Closed-coupled OFA<br>Selective Non-catalytic Reduction,Electrostatic Precipitator,,31.0069,-88.0103
AL,Barry,3,2,CS0AAN,2017,ARP,563.25,12,14038.25,,1.252,0.0542,6.479,12853.492,216827.725,4,SERC,Mobile County,Electric Utility,Alabama Power Company,Alabama Power Company,"ARP : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSSO2G2 : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSNOXOS : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSOSG2 : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSNOX : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),MATS : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017)","ARP : Susan B Comensky (605449),CSSO2G2 : Susan B Comensky (605449),CSNOXOS : Susan B Comensky (605449),CSOSG2 : Susan B Comensky (605449),CSNOX : Susan B Comensky (605449),MATS : Susan B Comensky (605449)",Phase 2,Phase 2 Group 1,Operating,Tangentially-fired,Pipeline Natural Gas,,,Low NOx Burner Technology w/ Closed-coupled OFA<br>Selective Non-catalytic Reduction,Electrostatic Precipitator,,31.0069,-88.0103
AL,Barry,3,4,,2017,ARP,4973,12,772728,,3956.582,0.2941,1199.5,837130.75,8159157.6,4,SERC,Mobile County,Electric Utility,Alabama Power Company,Alabama Power Company,"ARP : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSSO2G2 : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSNOXOS : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSOSG2 : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSNOX : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),MATS : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017)","ARP : Susan B Comensky (605449),CSSO2G2 : Susan B Comensky (605449),CSNOXOS : Susan B Comensky (605449),CSOSG2 : Susan B Comensky (605449),CSNOX : Susan B Comensky (605449),MATS : Susan B Comensky (605449)",Phase 2,Phase 2 Group 1,Operating,Tangentially-fired,Coal,Pipeline Natural Gas,,Low NOx Burner Technology w/ Separated OFA<br>Selective Non-catalytic Reduction,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,31.0069,-88.0103
AL,Barry,3,5,"MS5C, MS5D, MS5E",2017,ARP,5621.5,12,2937099.75,,241.233,0.0796,1083.263,2923231.95,2.85E+07,4,SERC,Mobile County,Electric Utility,Alabama Power Company,Alabama Power Company,"ARP : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSSO2G2 : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSNOXOS : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSOSG2 : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSNOX : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),MATS : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017)","ARP : Susan B Comensky (605449),CSSO2G2 : Susan B Comensky (605449),CSNOXOS : Susan B Comensky (605449),CSOSG2 : Susan B Comensky (605449),CSNOX : Susan B Comensky (605449),MATS : Susan B Comensky (605449)",Phase 2,Phase 2 Group 1,Operating,Tangentially-fired,Coal,Pipeline Natural Gas,Wet Limestone,Low NOx Burner Technology w/ Separated OFA<br>Selective Catalytic Reduction,Electrostatic Precipitator,"Catalyst (gold, palladium, or other) used to oxidize mercury",31.0069,-88.0103
AL,Barry,3,6A,,2017,ARP,8272.25,12,2147496.75,,4.471,0.0083,59.957,885585.85,1.49E+07,4,SERC,Mobile County,Electric Utility,Alabama Power Company,Alabama Power Company,"ARP : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSSO2G2 : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSNOXOS : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSOSG2 : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSNOX : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),MATS : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017)","ARP : Susan B Comensky (605449),CSSO2G2 : Susan B Comensky (605449),CSNOXOS : Susan B Comensky (605449),CSOSG2 : Susan B Comensky (605449),CSNOX : Susan B Comensky (605449),MATS : Susan B Comensky (605449)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners<br>Selective Catalytic Reduction,,,31.0069,-88.0103
AL,Barry,3,6B,,2017,ARP,8249,12,2138222.5,,4.499,0.009,65.184,891208.425,1.50E+07,4,SERC,Mobile County,Electric Utility,Alabama Power Company,Alabama Power Company,"ARP : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSSO2G2 : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSNOXOS : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSOSG2 : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSNOX : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),MATS : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017)","ARP : Susan B Comensky (605449),CSSO2G2 : Susan B Comensky (605449),CSNOXOS : Susan B Comensky (605449),CSOSG2 : Susan B Comensky (605449),CSNOX : Susan B Comensky (605449),MATS : Susan B Comensky (605449)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners<br>Selective Catalytic Reduction,,,31.0069,-88.0103
AL,Barry,3,7A,,2017,ARP,8239,12,2131897.5,,4.5,0.0084,60.677,891390.925,1.50E+07,4,SERC,Mobile County,Electric Utility,Alabama Power Company,Alabama Power Company,"ARP : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSSO2G2 : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSNOXOS : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSOSG2 : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSNOX : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),MATS : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017)","ARP : Susan B Comensky (605449),CSSO2G2 : Susan B Comensky (605449),CSNOXOS : Susan B Comensky (605449),CSOSG2 : Susan B Comensky (605449),CSNOX : Susan B Comensky (605449),MATS : Susan B Comensky (605449)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners<br>Selective Catalytic Reduction,,,31.0069,-88.0103
AL,Barry,3,7B,,2017,ARP,8297.25,12,2138966.5,,4.488,0.0083,60.44,888941.95,1.50E+07,4,SERC,Mobile County,Electric Utility,Alabama Power Company,Alabama Power Company,"ARP : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSSO2G2 : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSNOXOS : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSOSG2 : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),CSNOX : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017),MATS : Larry S Monroe (607509) (Ended Jun 30, 2017)<br>Jason K Reynolds (608760) (Started Jun 30, 2017)","ARP : Susan B Comensky (605449),CSSO2G2 : Susan B Comensky (605449),CSNOXOS : Susan B Comensky (605449),CSOSG2 : Susan B Comensky (605449),CSNOX : Susan B Comensky (605449),MATS : Susan B Comensky (605449)",Phase 2,,Operating,Combined cycle,Pipeline Natural Gas,,,Dry Low NOx Burners<br>Selective Catalytic Reduction,,,31.0069,-88.0103
